t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,0,0,0,0,1,0,0,0,0
0.001,1.00E-10,9.54E-06,0,9.54E-06,1,0,0,0,0
0.002,2.45E-08,0.000156562,0,0.000156562,1,0,0,0,0
0.003,3.02E-07,0.000549952,0,0.000549952,0.999999642,0,0,0,0
0.004,1.62E-06,0.00127236,0,0.00127236,0.999998331,0,0,0,0
0.005,5.57E-06,0.002359544,0,0.002359544,0.999994397,0,0,0,0
0.006,1.45E-05,0.003808317,0,0.003808317,0.999985457,0,0,0,0
0.007,3.10E-05,0.005568591,0,0.005568591,0.999968886,0,0,0,0
0.008,5.70E-05,0.007552917,0,0.007552917,0.999942899,0,0,0,0
0.009,9.31E-05,0.009649208,0,0.009649208,0.999907017,0,0,0,0
0.01,0.000137693,0.01173346,0,0.01173346,0.999862313,0,0,0,0
0.011,0.000187289,0.01368409,0,0.01368409,0.999812841,0,0,0,0
0.012,0.000237223,0.015400199,0,0.015400199,0.999762654,0,0,0,0
0.013,0.000282587,0.016807949,0,0.016807949,0.999717474,0,0,0,0
0.014,0.00031981,0.017880375,0,0.017880375,0.999680042,0,0,0,0
0.015,0.00034694,0.018623093,0,0.018623093,0.999653041,0,0,0,0
0.016,0.000364749,0.019094918,0,0.019094918,0.99963516,0,0,0,0
0.017,0.000375852,0.019383257,0,0.019383257,0.999624193,0,0,0,0
0.018,0.000384374,0.019601688,0,0.019601688,0.99961561,0,0,0,0
0.019,0.000395011,0.019870946,0,0.019870946,0.999604881,0,0,0,0
0.02,0.000412577,0.020307792,0,0.020307792,0.999587476,0,0,0,0
0.021,0.000441577,0.021009103,0,0.021009103,0.999558389,0,0,0,0
0.022,0.000485856,0.022036789,0,0.022036789,0.999514282,0,0,0,0
0.023,0.00054821,0.023407465,0,0.023407465,0.999451816,0,0,0,0
0.024,0.000630427,0.025100386,0,0.025100386,0.999369502,0,0,0,0
0.025,0.000732256,0.027050326,0,0.027050326,0.999267697,0,0,0,0
0.026,0.000850816,0.029156331,0,0.029156331,0.999149144,0,0,0,0
0.027,0.000980457,0.031296887,0,0.031296887,0.999019384,0,0,0,0
0.028,0.001113446,0.033349752,0,0.033349752,0.998886526,0,0,0,0
0.029,0.001240628,0.035200693,0,0.035200693,0.99875927,0,0,0,0
0.03,0.001353611,0.03676654,0,0.03676654,0.998646498,0,0,0,0
0.031,0.001445775,0.037995853,0,0.037995853,0.99855417,0,0,0,0
0.032,0.001514384,0.038885605,0,0.038885605,0.998485684,0,0,0,0
0.033,0.001560818,0.039476343,0,0.039476343,0.998439193,0,0,0,0
0.034,0.001590028,0.039843444,0,0.039843444,0.998410046,0,0,0,0
0.035,0.001610056,0.040093187,0,0.040093187,0.998389781,0,0,0,0
0.036,0.001630403,0.040345322,0,0.040345322,0.998369634,0,0,0,0
0.037,0.001660514,0.040715557,0,0.040715557,0.998339415,0,0,0,0
0.038,0.001709054,0.041305367,0,0.041305367,0.998291016,0,0,0,0
0.039,0.001782571,0.042182859,0,0.042182859,0.998217404,0,0,0,0
0.04,0.001885074,0.043376498,0,0.043376498,0.998115122,0,0,0,0
0.041,0.002017981,0.044876594,0,0.044876594,0.997981966,0,0,0,0
0.042,0.002179616,0.046635456,0,0.046635456,0.997820377,0,0,0,0
0.043,0.002364454,0.04856813,0,0.04856813,0.997635543,0,0,0,0
0.044,0.002563892,0.050569937,0,0.050569937,0.997436047,0,0,0,0
0.045,0.00276714,0.052530784,0,0.052530784,0.997232914,0,0,0,0
0.046,0.002962459,0.054347795,0,0.054347795,0.99703747,0,0,0,0
0.047,0.003138739,0.055936456,0,0.055936456,0.996861279,0,0,0,0
0.048,0.003287127,0.057239164,0,0.057239164,0.996712863,0,0,0,0
0.049,0.003403518,0.058240309,0,0.058240309,0.996596515,0,0,0,0
0.05,0.003488242,0.058958244,0,0.058958244,0.996511757,0,0,0,0
0.051,0.003546503,0.059446823,0,0.059446823,0.996453464,0,0,0,0
0.052,0.003587419,0.059787534,0,0.059787534,0.996412516,0,0,0,0
0.053,0.003622732,0.060080014,0,0.060080014,0.99637717,0,0,0,0
0.054,0.003664855,0.060427006,0,0.060427006,0.99633503,0,0,0,0
0.055,0.003725631,0.060924139,0,0.060924139,0.996274233,0,0,0,0
0.056,0.003815134,0.061648835,0,0.061648835,0.996184886,0,0,0,0
0.057,0.003940244,0.062647581,0,0.062647581,0.996059835,0,0,0,0
0.058,0.004103953,0.063930512,0,0.063930512,0.995895922,0,0,0,0
0.059,0.004305555,0.065475315,0,0.065475315,0.995694518,0,0,0,0
0.06,0.004539585,0.06722334,0,0.06722334,0.995460451,0,0,0,0
0.061,0.004796418,0.06908989,0,0.06908989,0.995203674,0,0,0,0
0.062,0.005063486,0.0709778,0,0.0709778,0.994936585,0,0,0,0
0.063,0.005326185,0.0727861,0,0.0727861,0.994673789,0,0,0,0
0.064,0.005569754,0.07442265,0,0.07442265,0.994430184,0,0,0,0
0.065,0.005781479,0.075815924,0,0.075815924,0.994218648,0,0,0,0
0.066,0.005954017,0.076932222,0,0.076932222,0.994045913,0,0,0,0
0.067,0.006084498,0.077765517,0,0.077765517,0.993915319,0,0,0,0
0.068,0.006177227,0.078352206,0,0.078352206,0.993822753,0,0,0,0
0.069,0.00624161,0.078756921,0,0.078756921,0.99375844,0,0,0,0
0.07,0.006291689,0.079070248,0,0.079070248,0.993708313,0,0,0,0
0.071,0.006342987,0.079389885,0,0.079389885,0.993657053,0,0,0,0
0.072,0.006412169,0.079818867,0,0.079818867,0.993587673,0,0,0,0
0.073,0.006513251,0.08044146,0,0.08044146,0.993486941,0,0,0,0
0.074,0.006656946,0.081318088,0,0.081318088,0.993343115,0,0,0,0
0.075,0.006848702,0.082473002,0,0.082473002,0.993151128,0,0,0,0
0.076,0.007089153,0.083898127,0,0.083898127,0.992910862,0,0,0,0
0.077,0.007372738,0.085547529,0,0.085547529,0.992627204,0,0,0,0
0.078,0.007688215,0.087344743,0,0.087344743,0.992311657,0,0,0,0
0.079,0.008021257,0.089201555,0,0.089201555,0.991978824,0,0,0,0
0.08,0.008353663,0.091015823,0,0.091015823,0.991646409,0,0,0,0
0.081,0.008667489,0.092695005,0,0.092695005,0.991332531,0,0,0,0
0.082,0.008947656,0.094167903,0,0.094167903,0.99105221,0,0,0,0
0.083,0.009183014,0.095387034,0,0.095387034,0.99081701,0,0,0,0
0.084,0.009369647,0.096342392,0,0.096342392,0.990630269,0,0,0,0
0.085,0.009510508,0.097056992,0,0.097056992,0.990489662,0,0,0,0
0.086,0.009615117,0.097584151,0,0.097584151,0.990384817,0,0,0,0
0.087,0.009697753,0.0979985,0,0.0979985,0.990302205,0,0,0,0
0.088,0.009776654,0.098392427,0,0.098392427,0.990223348,0,0,0,0
0.089,0.009870078,0.098856762,0,0.098856762,0.990129888,0,0,0,0
0.09,0.009994757,0.099472933,0,0.099472933,0.990005434,0,0,0,0
0.091,0.010163281,0.1002995,0,0.1002995,0.989836752,0,0,0,0
0.092,0.010384181,0.101372331,0,0.101372331,0.989615858,0,0,0,0
0.093,0.010659257,0.102691956,0,0.102691956,0.989340723,0,0,0,0
0.094,0.010984703,0.104230695,0,0.104230695,0.989015162,0,0,0,0
0.095,0.011350588,0.105932765,0,0.105932765,0.988649309,0,0,0,0
0.096,0.011742445,0.107724458,0,0.107724458,0.988257527,0,0,0,0
0.097,0.012143052,0.109524414,0,0.109524414,0.987856865,0,0,0,0
0.098,0.012532053,0.111242987,0,0.111242987,0.987468064,0,0,0,0
0.099,0.01289286,0.112812385,0,0.112812385,0.987107158,0,0,0,0
0.1,0.01321105,0.11417757,0,0.11417757,0.986788929,0,0,0,0
0.101,0.013477516,0.115307741,0,0.115307741,0.986522615,0,0,0,0
0.102,0.013691142,0.116205394,0,0.116205394,0.986308813,0,0,0,0
0.103,0.013857002,0.116897322,0,0.116897322,0.986142933,0,0,0,0
0.104,0.013986609,0.117435023,0,0.117435023,0.986013413,0,0,0,0
0.105,0.014096801,0.117890135,0,0.117890135,0.985903323,0,0,0,0
0.106,0.014206295,0.118340522,0,0.118340522,0.985793889,0,0,0,0
0.107,0.014334662,0.118866228,0,0.118866228,0.985665441,0,0,0,0
0.108,0.014499572,0.119538002,0,0.119538002,0.985500336,0,0,0,0
0.109,0.014714374,0.120407067,0,0.120407067,0.985285699,0,0,0,0
0.11,0.014987915,0.121504232,0,0.121504232,0.985012114,0,0,0,0
0.111,0.015321183,0.122826889,0,0.122826889,0.984678745,0,0,0,0
0.112,0.015708901,0.12434683,0,0.12434683,0.984291256,0,0,0,0
0.113,0.01614001,0.12601392,0,0.12601392,0.983860016,0,0,0,0
0.114,0.016596625,0.12775436,0,0.12775436,0.983403385,0,0,0,0
0.115,0.017059183,0.129491955,0,0.129491955,0.982940733,0,0,0,0
0.116,0.017505389,0.131144762,0,0.131144762,0.982494652,0,0,0,0
0.117,0.017916044,0.132646367,0,0.132646367,0.982083976,0,0,0,0
0.118,0.018275546,0.133946076,0,0.133946076,0.98172462,0,0,0,0
0.119,0.018576145,0.135022506,0,0.135022506,0.981424034,0,0,0,0
0.12,0.018817199,0.135879025,0,0.135879025,0.981182635,0,0,0,0
0.121,0.019006735,0.136548445,0,0.136548445,0.980993271,0,0,0,0
0.122,0.019160027,0.137087271,0,0.137087271,0.980839908,0,0,0,0
0.123,0.019298459,0.137571901,0,0.137571901,0.980701506,0,0,0,0
0.124,0.019443814,0.138078779,0,0.138078779,0.980556071,0,0,0,0
0.125,0.019619335,0.138688207,0,0.138688207,0.980380774,0,0,0,0
0.126,0.019843753,0.139463171,0,0.139463171,0.980156183,0,0,0,0
0.127,0.020130761,0.140447557,0,0.140447557,0.979869306,0,0,0,0
0.128,0.020485973,0.141655535,0,0.141655535,0.979513824,0,0,0,0
0.129,0.020906348,0.143070862,0,0.143070862,0.97909373,0,0,0,0
0.13,0.021383015,0.144657463,0,0.144657463,0.978616893,0,0,0,0
0.131,0.021897759,0.146349758,0,0.146349758,0.978102446,0,0,0,0
0.132,0.022427926,0.148070633,0,0.148070633,0.977572084,0,0,0,0
0.133,0.022950206,0.149744749,0,0.149744749,0.977049649,0,0,0,0
0.134,0.023440285,0.151297182,0,0.151297182,0.976559639,0,0,0,0
0.135,0.02387997,0.152675182,0,0.152675182,0.976119936,0,0,0,0
0.136,0.024255855,0.153842479,0,0.153842479,0.975744128,0,0,0,0
0.137,0.024565347,0.154796287,0,0.154796287,0.975434721,0,0,0,0
0.138,0.024812892,0.155554533,0,0.155554533,0.975187123,0,0,0,0
0.139,0.025012881,0.156164125,0,0.156164125,0.97498709,0,0,0,0
0.14,0.025185393,0.156687856,0,0.156687856,0.974814475,0,0,0,0
0.141,0.025354466,0.157199308,0,0.157199308,0.974645674,0,0,0,0
0.142,0.025544426,0.157771707,0,0.157771707,0.974455714,0,0,0,0
0.143,0.02577769,0.15847145,0,0.15847145,0.974222302,0,0,0,0
0.144,0.026070254,0.159344271,0,0.159344271,0.973929644,0,0,0,0
0.145,0.026432401,0.160417363,0,0.160417363,0.973567724,0,0,0,0
0.146,0.026864251,0.161686614,0,0.161686614,0.973135591,0,0,0,0
0.147,0.027359515,0.163128704,0,0.163128704,0.972640455,0,0,0,0
0.148,0.027902065,0.164692253,0,0.164692253,0.972097874,0,0,0,0
0.149,0.028470349,0.166312307,0,0.166312307,0.971529543,0,0,0,0
0.15,0.029040545,0.167920187,0,0.167920187,0.970959306,0,0,0,0
0.151,0.029587396,0.169446081,0,0.169446081,0.970412433,0,0,0,0
0.152,0.030087769,0.170828864,0,0.170828864,0.969912469,0,0,0,0
0.153,0.030525902,0.172029287,0,0.172029287,0.969474137,0,0,0,0
0.154,0.030893663,0.173029587,0,0.173029587,0.969106197,0,0,0,0
0.155,0.031193385,0.173840031,0,0.173840031,0.968806505,0,0,0,0
0.156,0.03143587,0.174492568,0,0.174492568,0.968564212,0,0,0,0
0.157,0.031638864,0.175036699,0,0.175036699,0.968361139,0,0,0,0
0.158,0.031827193,0.175539807,0,0.175539807,0.968172908,0,0,0,0
0.159,0.0320266,0.17607072,0,0.17607072,0.967973471,0,0,0,0
0.16,0.032260891,0.176692173,0,0.176692173,0.967739046,0,0,0,0
0.161,0.032551643,0.177459955,0,0.177459955,0.967448354,0,0,0,0
0.162,0.032910008,0.178401068,0,0.178401068,0.96709007,0,0,0,0
0.163,0.033340853,0.179525033,0,0.179525033,0.966659069,0,0,0,0
0.164,0.033839688,0.180816367,0,0.180816367,0.966160178,0,0,0,0
0.165,0.034392644,0.182235524,0,0.182235524,0.965607166,0,0,0,0
0.166,0.034979519,0.18372792,0,0.18372792,0.965020299,0,0,0,0
0.167,0.035575256,0.185228661,0,0.185228661,0.96442467,0,0,0,0
0.168,0.036153667,0.186672375,0,0.186672375,0.963846326,0,0,0,0
0.169,0.036690712,0.188001335,0,0.188001335,0.963309169,0,0,0,0
0.17,0.037168253,0.189173937,0,0.189173937,0.962831914,0,0,0,0
0.171,0.037574586,0.190165028,0,0.190165028,0.96242547,0,0,0,0
0.172,0.037910614,0.190980122,0,0.190980122,0.962089479,0,0,0,0
0.173,0.038183488,0.191639006,0,0.191639006,0.96181649,0,0,0,0
0.174,0.038410608,0.192185402,0,0.192185402,0.961589336,0,0,0,0
0.175,0.038614329,0.192673966,0,0.192673966,0.961385489,0,0,0,0
