t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,0,0,0,0,1,0,0,0,0
0.00005,2.53E-12,1.59E-06,0,1.59E-06,1,0,0,0,0
0.0001,5.68E-10,2.38E-05,0,2.38E-05,1,0,0,0,0
0.00015,7.64E-09,8.74E-05,0,8.74E-05,1,0,0,0,0
0.0002,4.34E-08,0.000208219,0,0.000208219,1,0,0,0,0
0.00025,1.64E-07,0.000405312,0,0.000405312,1,0,0,0,0
0.0003,4.76E-07,0.000689824,0,0.000689824,0.999999,0,0,0,0
0.00035,1.15E-06,0.00107447,0,0.00107447,0.999999,0,0,0,0
0.0004,2.46E-06,0.0015672,0,0.0015672,0.999997,0,0,0,0
0.00045,4.72E-06,0.00217358,0,0.00217358,0.999995,0,0,0,0
0.0005,8.39E-06,0.00289598,0,0.00289598,0.999992,0,0,0,0
0.00055,1.39E-05,0.00373282,0,0.00373282,0.999986,0,0,0,0
0.0006,2.19E-05,0.00468011,0,0.00468011,0.999978,0,0,0,0
0.00065,3.29E-05,0.0057315,0,0.0057315,0.999967,0,0,0,0
0.0007,4.73E-05,0.00687664,0,0.00687664,0.999952,0,0,0,0
0.00075,6.57E-05,0.00810599,0,0.00810599,0.999934,0,0,0,0
0.0008,8.85E-05,0.00940444,0,0.00940444,0.999911,0,0,0,0
0.00085,0.000115758,0.0107585,0,0.0107585,0.999884,0,0,0,0
0.0009,0.000147678,0.0121514,0,0.0121514,0.999852,0,0,0,0
0.00095,0.000184126,0.013568,0,0.013568,0.999816,0,0,0,0
0.001,0.000224947,0.0149965,0,0.0149965,0.999775,0,0,0,0
0.00105,0.000269644,0.0164186,0,0.0164186,0.99973,0,0,0,0
0.0011,0.000317793,0.0178239,0,0.0178239,0.999682,0,0,0,0
0.00115,0.000368887,0.0192029,0,0.0192029,0.999631,0,0,0,0
0.0012,0.000422153,0.020542,0,0.020542,0.999578,0,0,0,0
0.00125,0.000477099,0.0218374,0,0.0218374,0.999523,0,0,0,0
0.0013,0.000533165,0.0230842,0,0.0230842,0.999467,0,0,0,0
0.00135,0.000589832,0.0242793,0,0.0242793,0.99941,0,0,0,0
0.0014,0.000646812,0.0254243,0,0.0254243,0.999353,0,0,0,0
0.00145,0.000703759,0.0265191,0,0.0265191,0.999296,0,0,0,0
0.0015,0.000760739,0.027571,0,0.027571,0.999239,0,0,0,0
0.00155,0.000817618,0.0285823,0,0.0285823,0.999182,0,0,0,0
0.0016,0.000874665,0.0295618,0,0.0295618,0.999125,0,0,0,0
0.00165,0.000932277,0.030519,0,0.030519,0.999067,0,0,0,0
0.0017,0.000990576,0.0314578,0,0.0314578,0.999009,0,0,0,0
0.00175,0.00105023,0.0323902,0,0.0323902,0.99895,0,0,0,0
0.0018,0.00111142,0.0333194,0,0.0333194,0.998889,0,0,0,0
0.00185,0.00117472,0.034254,0,0.034254,0.998825,0,0,0,0
0.0019,0.00124061,0.0352004,0,0.0352004,0.998759,0,0,0,0
0.00195,0.00130945,0.0361626,0,0.0361626,0.99869,0,0,0,0
0.002,0.00138133,0.0371406,0,0.0371406,0.998619,0,0,0,0
0.00205,0.00145677,0.0381398,0,0.0381398,0.998543,0,0,0,0
0.0021,0.00153552,0.0391557,0,0.0391557,0.998464,0,0,0,0
